	price	sector	street	city	type	room	suite	park	m2
2751	220.000	VL RIZZO	RUA ITALO ROBERTO	Goiania GO	CASA	3	1	4	105
2752	390.000	PQ AMAZONIA	RUA JACANA	Goiania GO	APARTAMENTO	3	1	2	97
2753	2.000.000	ALPHAVILLE FLAMBOYANT RESID ARAGUAIA	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA DE CONDOMÍNIO	4	4	3	330
2754	340.000	SETOR MARISTA	RUA 15	Goiania GO	APARTAMENTO	2	1	1	62
2755	1.600.000	JDS VALENCIA	AV DIOGENES DOLIVAL SAMPAIO	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	348
2756	350.000	SETOR CENTRAL	RUA 3	Goiania GO	APARTAMENTO	4	2	1	250
2757	608.251	SETOR BUENO	RUA T 34	Goiania GO	APARTAMENTO	3	3	2	122
2759	420.000	SETOR NOVA SUICA	RUA C 264	Goiania GO	APARTAMENTO	4	3	2	114
2760	450.000	JARDIM ATLÂNTICO	RUA C 25	Goiania GO	CASA	3	1	2	220
2764	695.000	JARDIM ATLÂNTICO	RUA SALMAO,DO	Goiania GO	CASA	4	4	4	228
2769	200.000	SETOR NEGRAO DE LIMA	RUA 408	Goiania GO	APARTAMENTO	2	1	1	58
2770	550.000	SETOR OESTE	RUA 8	Goiania GO	APARTAMENTO	3	3	2	150
2773	300.000	RESID CID VERDE	AVENIDA JAIME CAMARA	Goiania GO	CASA	3	1	2	100
2774	360.000	SETOR OESTE	AVENIDA R 11	Goiania GO	APARTAMENTO	2	1	1	77
2776	280.000	SETOR BUENO	AVENIDA T 13	Goiania GO	APARTAMENTO	2	1	1	65
2777	880.000	SETOR BELA VISTA	RUA S 3	Goiania GO	APARTAMENTO	4	4	3	162
2778	264.000	JARDIM ATLÂNTICO	AVENIDA LAGUNA	Goiania GO	APARTAMENTO	3	1	2	74
2779	1.590.000	RESID GRANVILLE	RUA GV 4	Goiania GO	CASA DE CONDOMÍNIO	5	4	4	365
2780	810.000	SETOR BELA VISTA	RUA S 6	Goiania GO	APARTAMENTO	3	1	2	188
2782	1.780.000	JDS ATENAS	AV DIOGENES DOLIVAL SAMPAIO	Goiania GO	CASA DE CONDOMÍNIO	3	3	4	285
2783	3.900.000	ALPHAVILLE GOIAS	RUA NOVA AMERICA	Goiania GO	CASA DE CONDOMÍNIO	5	5	6	591
2784	530.000	PQ AMAZONIA	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA	3	3	2	184
2787	565.000	SETOR BUENO	AVENIDA T 1	Goiania GO	APARTAMENTO	2	2	2	82
2791	470.000	JARDIM ATLÂNTICO	AVENIDA COPACABANA	Goiania GO	APARTAMENTO	3	3	2	123
2792	650.000	JD GOIAS	RUA 49	Goiania GO	APARTAMENTO	3	3	2	120
2794	1.650.000	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	4	4	4	266
2797	270.000	RESID ELDORADO	AV RAVENA	Goiania GO	APARTAMENTO	3	3	2	82
2798	602.228	SETOR BUENO	RUA T 34	Goiania GO	APARTAMENTO	3	3	2	122
2799	1.250.000	SETOR MARISTA	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	3	3	3	185
2800	480.000	JARDIM ATLÂNTICO	RUA ESPONJA,DA	Goiania GO	CASA	3	1	2	180
2802	320.000	SETOR OESTE	RUA 7	Goiania GO	APARTAMENTO	2	1	1	62
2804	380.000	SETOR NOVA SUICA	RUA C 259	Goiania GO	APARTAMENTO	3	1	2	86
2805	459.000	SETOR BUENO	RUA T 30	Goiania GO	APARTAMENTO	3	3	2	100
2811	728.175	SETOR BUENO	RUA T 27	Goiania GO	APARTAMENTO	3	3	3	153
2813	371.582	SETOR BUENO	RUA T 33	Goiania GO	APARTAMENTO	2	2	1	70
2814	260.000	PQ AMAZONIA	RUA UIRAPURU	Goiania GO	APARTAMENTO	3	1	1	72
2818	230.000	JARDIM AMÉRICA	AVENIDA C 182	Goiania GO	APARTAMENTO	2	1	1	66
2819	258.000	VILA MARIA JOSÉ	RUA CEL SERAFIM AGAPITO	Goiania GO	APARTAMENTO	2	1	1	58
2820	153.000	SETOR ESTRELA DALVA	AVENIDA OTAVIO LUCIO	Goiania GO	CASA DE CONDOMÍNIO	2	1	2	61
2821	375.000	JD GOIAS	RUA 54	Goiania GO	APARTAMENTO	3	1	1	74
2822	1.050.000	SETOR MARISTA	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	4	4	3	174
2823	475.000	JD GOIAS	RUA 71	Goiania GO	APARTAMENTO	3	3	2	102
2826	1.150.000	JDS VERONA	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	243
2827	499.000	SETOR JAO	RUA J 59	Goiania GO	CASA	3	1	4	200
2832	250.000	RESID AQUARIOS	AVENIDA BRASIL	Goiania GO	CASA	3	1	2	80
2835	315.000	SETOR PEDRO LUDOVICO	AVENIDA EDMUNDO PINHEIRO DE ABREU	Goiania GO	APARTAMENTO	3	1	1	100
2840	280.000	SETOR SUDOESTE	RUA C 84 QUADRA 159 LOTE 12	Goiania GO	APARTAMENTO	3	1	2	98
2843	585.000	SETOR BUENO	RUA T 65	Goiania GO	APARTAMENTO	3	3	2	128
2844	358.000	JD GOIAS	RUA 6	Goiania GO	APARTAMENTO	3	1	2	73
2846	680.000	JD GOIAS	RUA 55	Goiania GO	APARTAMENTO	3	3	3	129
2849	208.000	SETOR NEGRAO DE LIMA	RUA: 11-A	Goiania GO	APARTAMENTO	2	1	1	62
2850	198.000	SETOR URIAS MAGALHAES	AV RIO BRANCO	Goiania GO	APARTAMENTO	3	1	1	79
2851	1.400.000	RESID GRANVILLE	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	314
2852	230.000	VILA ROSA	RUA DESEM ELADIO AMORIM	Goiania GO	APARTAMENTO	3	1	2	74
2855	60.000	JARDIM ATLÂNTICO	RUA MARIA APARECIDA	Goiania GO	APARTAMENTO	3	3	2	123
2856	263.000	ALTO DA GLORIA	AV ENG EURICO VIANA	Goiania GO	APARTAMENTO	2	1	1	58
2858	390.000	JD GOIAS	NO INFORMADO	Goiania GO	APARTAMENTO	3	1	2	84
2860	1.350.000	SETOR MARISTA	RUA 36	Goiania GO	APARTAMENTO	4	4	3	240
2862	590.000	SERRINHA	AVENIDA T 14	Goiania GO	APARTAMENTO	3	3	2	112
2863	350.000	JD VL BOA	RUA PADRE FEIJO	Goiania GO	CASA	3	2	2	140
2864	1.150.000	SETOR MARISTA	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	4	4	3	178
2865	205.000	RESID ELDORADO	AVENIDA MILAO	Goiania GO	APARTAMENTO	2	1	1	57
2871	305.959	SETOR COIMBRA	AVENIDA 220	Goiania GO	APARTAMENTO	2	2	1	66
2878	680.000	JARDIM AMÉRICA	RUA C 161	Goiania GO	CASA	4	2	4	250
2879	650.000	SETOR BUENO	AV T 5	Goiania GO	APARTAMENTO	4	3	2	138
2881	700.000	SETOR OESTE	AVENIDA R 11	Goiania GO	APARTAMENTO	4	1	3	180
2883	320.000	VILA ALPES	RUA A 20	Goiania GO	APARTAMENTO	3	1	2	82
2885	350.000	CJ VERA CRUZ	RUA PROFA MARIA DO S DE MATOS LIMA	Goiania GO	CASA	5	3	3	240
2886	610.000	SETOR JAO	RUA J 7	Goiania GO	CASA	4	3	4	214
2887	410.000	SETOR BUENO	RUA T 44	Goiania GO	APARTAMENTO	3	1	2	101
2888	715.300	SETOR BUENO	RUA T 30	Goiania GO	APARTAMENTO	3	3	2	131
2890	550.000	SETOR BUENO	RUA T 65	Goiania GO	APARTAMENTO	3	3	2	128
2891	900.000	SETOR BUENO	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	3	3	2	165
2893	290.000	RESID VALE DO ARAGUAIA	R JOSE MONTEIRO DA COSTA	Goiania GO	CASA	3	1	2	88
2898	273.156	GRANVILLE	AVENIDA TRIESTE	Goiania GO	APARTAMENTO	3	3	1	89
2901	1.150.000	JDS VERONA	RUA GERALDO RODRIGUES SN	Goiania GO	CASA DE CONDOMÍNIO	4	4	3	240
2902	235.000	PQ AMAZONIA	RUA MARAJO	Goiania GO	APARTAMENTO	2	1	1	63
2903	170.000	VL STA RITA	R SRM 26	Goiania GO	CASA	2	1	3	80
2904	305.000	ALTO DA GLORIA	R FORTALEZA	Goiania GO	APARTAMENTO	2	1	1	70
2906	1.097.000	PORTAL DO SOL	RUA SB 3	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	380
2907	478.007	JD GOIAS	RUA 55	Goiania GO	APARTAMENTO	3	1	2	88
2909	1.259.000	SETOR MARISTA	ALAMEDA DR SEBASTIAO FLEURY	Goiania GO	APARTAMENTO	3	3	2	200
2910	640.000	SETOR BUENO	RUA T 34	Goiania GO	APARTAMENTO	3	3	2	122
2911	1.400.000	RESID GRANVILLE	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	314
2912	319.000	JARDIM AMÉRICA	RUA C 145	Goiania GO	APARTAMENTO	3	1	1	92
2915	201.000	PQ OESTE INDUSTRIAL	RUA MAGNOLIAS,DAS	Goiania GO	APARTAMENTO	3	1	2	65
2916	890.000	LOTEAMENTO PORTAL DO SOL II	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA DE CONDOMÍNIO	4	2	2	232
2919	360.000	JD GOIAS	RUA 54	Goiania GO	APARTAMENTO	3	1	1	76
2921	821.000	SETOR BUENO	RUA T 27	Goiania GO	APARTAMENTO	3	3	3	153
2923	720.000	JD GOIAS	RUA 71	Goiania GO	APARTAMENTO	4	4	2	148
2924	580.000	LOZANDES PARK	AVENIDA PL 2	Goiania GO	APARTAMENTO	3	3	2	117
2927	266.000	JARDIM AMÉRICA	AVENIDA C 4	Goiania GO	APARTAMENTO	2	1	1	74
2929	240.000	JD GOIAS	RUA 6	Goiania GO	APARTAMENTO	3	1	1	75
2930	255.000	SETOR BELA VISTA	RUA S 2	Goiania GO	APARTAMENTO	3	1	1	93
2932	550.000	SETOR MARISTA	RUA 1121	Goiania GO	APARTAMENTO	4	2	2	165
2933	370.000	SETOR OESTE	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	2	1	1	114
2934	1.270.000	SETOR MARISTA	RUA 148	Goiania GO	APARTAMENTO	3	3	1	218
2937	2.950.000	ALPHAVILLE GOIAS	RUA NOVA AMERICA	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	496
2938	215.000	VILA ROSA	RUA ALAOR MENDONCA	Goiania GO	APARTAMENTO	2	1	1	57
2942	180.000	JARDIM PRESIDENTE	RUA PRES VARGAS	Goiania GO	CASA	2	1	2	55
2943	640.000	SETOR BUENO	AV T 5	Goiania GO	APARTAMENTO	4	3	2	146
2944	550.000	JD GOIAS	RUA 14	Goiania GO	APARTAMENTO	3	3	2	130
2945	260.000	ALTO DA GLORIA	RUA CEL ERNESTO GARCIA	Goiania GO	APARTAMENTO	2	1	1	65
2946	2.200.000	ALPHAVILLE GOIAS	ALPHAVILLE  RESIDENCIAL GOIÁS	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	391
2948	2.200.000	JD GOIAS	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	4	4	4	269
2949	430.000	ALTO DA GLORIA	AV ENG EURICO VIANA	Goiania GO	APARTAMENTO	3	3	2	86
2950	175.000	SETOR TRES MARIAS	R TORDESILHAS	Goiania GO	CASA	2	1	2	80
2953	467.000	SETOR FAICALVILLE	AVENIDA PEDRO I	Goiania GO	CASA	4	2	4	210
2955	216.431	S FRANCISCO	RUA HUMAITA	Goiania GO	APARTAMENTO	2	1	1	60
2956	630.000	PQ AMAZONIA	RUA NITEROI	Goiania GO	CASA	3	3	2	160
2957	1.800.000	JDS ATENAS	RUA A 27 QD. 19 LT. 08	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	367
2960	1.692.000	SETOR MARISTA	VIELA 1141	Goiania GO	APARTAMENTO	4	4	4	261
2961	385.000	JD GOIAS	R 54, QD B 6, LT 12, CEP: 74.810-220, GOIANIA,	Goiania GO	APARTAMENTO	2	1	2	74
2964	690.000	JARDIM AMÉRICA	RUA C 146	Goiania GO	CASA	4	2	4	260
2966	1.190.000	SETOR MARISTA	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	4	4	3	178
2967	289.000	SETOR BUENO	RUA T 48	Goiania GO	APARTAMENTO	2	1	1	65
2968	530.000	JARDIM ATLÂNTICO	RUA C 175	Goiania GO	CASA	3	2	4	205
2969	1.124.440	JD GOIAS	RUA 70	Goiania GO	APARTAMENTO	4	4	3	210
2971	680.000	SETOR BUENO	AVENIDA T-3	Goiania GO	APARTAMENTO	3	3	2	113
2973	500.000	SETOR BUENO	RUA T-28	Goiania GO	APARTAMENTO	3	3	2	117
2974	267.000	PQ AMAZONIA	RUA APORE	Goiania GO	APARTAMENTO	3	1	2	76
2975	4.100.000	ALPHAVILLE FLAMBOYANT	RUA NOVA AURORA	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	500
2977	270.000	JARDIM AMÉRICA	RUA C 143	Goiania GO	APARTAMENTO	3	2	2	74
2979	1.190.000	SETOR MARISTA	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	4	4	3	178
2982	550.000	JD GOIAS	RUA 54	Goiania GO	CASA	3	1	2	117
2985	1.400.000	SETOR MARISTA	SETOR MARISTA	Goiania GO	APARTAMENTO	4	4	3	211
2987	2.313.440	JD GOIAS	AVENIDA H	Goiania GO	APARTAMENTO	4	4	4	345
2990	569.767	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	3	3	2	118
2991	1.680.000	PQ FLAMBOYANT	RUA 13	Goiania GO	APARTAMENTO	4	4	4	242
2994	1.800.000	SETOR OESTE	RUA 13	Goiania GO	APARTAMENTO	4	4	3	290
2995	226.093	PQ OESTE INDUSTRIAL	RUA SEBASTIAO JULIO DE AGUIAR	Goiania GO	APARTAMENTO	3	1	1	66
2997	660.000	SETOR MARISTA	VIELA 1141	Goiania GO	APARTAMENTO	3	3	2	111
2998	259.000	ANHANGUERA	RUA 10	Goiania GO	CASA	3	1	2	190
3001	400.000	SETOR NOVA SUICA	RUA C 235	Goiania GO	APARTAMENTO	3	3	2	89
3007	225.000	SETOR CENTRAL	RUA 9	Goiania GO	APARTAMENTO	3	1	1	90
3008	400.000	SETOR BUENO	RUA T 50	Goiania GO	APARTAMENTO	3	1	2	94
3009	685.000	JD GOIAS	RUA 58 COM 54	Goiania GO	APARTAMENTO	4	2	2	125
3010	875.000	SETOR BUENO	AVENIDA T 3	Goiania GO	APARTAMENTO	4	3	3	181
3013	290.000	PQ AMAZONIA	RUA PRINCIPAL	Goiania GO	APARTAMENTO	3	1	2	77
3014	1.550.000	SETOR BUENO	RUA T 53	Goiania GO	APARTAMENTO	4	4	4	275
3015	265.000	PQ AMAZONIA	RUA UIRAPURU	Goiania GO	APARTAMENTO	3	1	1	75
3017	1.150.000	SETOR BUENO	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	3	3	3	164
3019	460.000	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	3	1	2	88
3020	294.000	SETOR BUENO	RUA T-51	Goiania GO	APARTAMENTO	2	1	1	65
3022	2.200.000	JD GOIAS	RUA 12	Goiania GO	APARTAMENTO	5	5	4	316
3023	300.000	PQ AMAZONIA	AVENIDA ANTONIO FIDELIS	Goiania GO	APARTAMENTO	3	1	2	77
3024	228.000	RESID ELDORADO	AVENIDA NAPOLI	Goiania GO	APARTAMENTO	2	1	1	63
3030	215.000	JARDIM ATLÂNTICO	AVENIDA LEBLON	Goiania GO	APARTAMENTO	2	1	1	60
3031	592.710	JARDIM AMÉRICA	RUA C 229	Goiania GO	APARTAMENTO	3	3	2	121
3032	1.750.000	SETOR OESTE	RUA 1	Goiania GO	APARTAMENTO	4	4	3	302
3033	610.000	SETOR BUENO	R T 36	Goiania GO	APARTAMENTO	4	2	2	190
3034	450.000	SETOR OESTE	RUA K	Goiania GO	APARTAMENTO	2	2	1	99
3035	210.000	SETOR COIMBRA	AVENIDA PERIMETRAL	Goiania GO	APARTAMENTO	3	1	1	83
3036	210.000	SETOR AEROPORTO	RUA 16 A	Goiania GO	APARTAMENTO	3	2	1	73
3037	506.273	JD GOIAS	RUA 55	Goiania GO	APARTAMENTO	3	3	2	118
3039	315.000	PQ AMAZONIA	RUA SALVADOR	Goiania GO	APARTAMENTO	3	1	2	81
3041	400.000	SETOR GOIANIA 2	RUA MURICI	Goiania GO	CASA	3	1	1	150
3043	430.000	JARDIM AMÉRICA	RUA C 162	Goiania GO	CASA DE CONDOMÍNIO	3	1	2	202
3044	895.000	SETOR MARISTA	RUA 13	Goiania GO	APARTAMENTO	3	3	2	126
3045	295.000	ALTO DA GLORIA	R FORTALEZA	Goiania GO	APARTAMENTO	3	1	1	70
3046	517.857	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	3	3	2	108
3051	725.081	SETOR BUENO	RUA T 27	Goiania GO	APARTAMENTO	3	3	3	153
3052	895.000	PQ AMAZONIA	ALAMEDA IMBE	Goiania GO	CASA DE CONDOMÍNIO	3	3	2	212
3053	446.826	JD GOIAS	RUA 55	Goiania GO	APARTAMENTO	3	1	2	88
3057	5.380.000	RESID ALPHAVILLE FLAMBOYANT	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	630
3058	620.000	STA GENOVEVA	RUA CONCORDIA,DA	Goiania GO	APARTAMENTO	3	3	2	159
3061	380.000	VL NOVO HORIZONTE	RUA C 17	Goiania GO	CASA	3	2	3	200
3063	471.000	JD GOIAS	RUA 55	Goiania GO	APARTAMENTO	3	1	2	88
3064	275.000	ALTO DA GLORIA	AV SAO JOAO	Goiania GO	APARTAMENTO	3	1	2	76
3068	1.290.000	SETOR BUENO	PRACA T 23	Goiania GO	APARTAMENTO	4	4	3	179
3070	270.000	SETOR CAMPINAS	AVENIDA SERGIPE	Goiania GO	APARTAMENTO	2	1	1	68
3071	1.150.000	LOTEAMENTO PORTAL DO SOL II	RUA SB 26	Goiania GO	CASA DE CONDOMÍNIO	4	3	5	270
3072	280.000	MOINHO DOS VENTOS	R MDV 42	Goiania GO	CASA	2	1	3	156
3073	170.000	CJ VERA CRUZ	RUA VI 14	Goiania GO	CASA DE CONDOMÍNIO	2	1	1	53
3077	175.000	RESID ELDORADO	AV NAPOLI	Goiania GO	APARTAMENTO	2	1	2	57
3078	1.200.000	JDS ATENAS	R A 29	Goiania GO	CASA DE CONDOMÍNIO	4	3	4	300
3079	235.900	JARDIM AMÉRICA	RUA C 38	Goiania GO	APARTAMENTO	2	1	1	65
3080	310.000	CENTRO	RUA 12	Goiania GO	APARTAMENTO	3	1	2	98
3085	500.000	SETOR BUENO	RUA T 30	Goiania GO	APARTAMENTO	4	2	2	165
3086	2.650.000	SETOR BUENO	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	4	4	5	362
3087	3.161.583	SETOR MARISTA	VIELA 1140	Goiania GO	APARTAMENTO	4	4	2	362
3093	213.000	SETOR SUDOESTE	RUA C 78	Goiania GO	APARTAMENTO	2	1	1	67
3094	816.000	SETOR BUENO	RUA T 27	Goiania GO	APARTAMENTO	3	3	3	153
3096	1.200.000	SETOR MARISTA	ALAMEDA RICARDO PARANHOS	Goiania GO	APARTAMENTO	4	4	3	178
3098	730.000	SETOR BUENO	RUA T 71	Goiania GO	APARTAMENTO	3	3	2	123
3099	2.000.000	JD EUROPA	AVENIDA MADRID	Goiania GO	CASA	8	3	4	435
3100	500.000	SETOR OESTE	RUA DOM ORIONE	Goiania GO	APARTAMENTO	3	3	2	113
3103	330.000	SETOR OESTE	RUA 2	Goiania GO	APARTAMENTO	3	1	1	106
3105	278.700	SETOR NEGRAO DE LIMA	RUA 402	Goiania GO	APARTAMENTO	3	1	2	67
3106	550.000	JARDIM AMÉRICA	RUA C-180 QUADRA 454 LOTE 04	Goiania GO	CASA	3	1	2	146
3109	292.955	JARDIM AMÉRICA	AVENIDA T 9	Goiania GO	APARTAMENTO	2	1	1	63
3110	800.000	JARDIM AMÉRICA	RUA C 190	Goiania GO	CASA	4	2	4	300
3111	600.000	GOIA	AVENIDA FELIPE CAMARAO	Goiania GO	CASA DE CONDOMÍNIO	4	1	3	146
3115	430.000	SETOR SUDOESTE	RUA C 89	Goiania GO	CASA	3	3	3	160
3116	4.000.000	SETOR BUENO	RUA RACHID AUAD	Goiania GO	APARTAMENTO	4	4	7	545
3118	1.340.000	PQ FLAMBOYANT	RUA 13 C/ RUA 15 E AV. H, QD. C8, LOTES 5–9/31-34, JARDIM GOIÁS, GOIÂNIA - GO	Goiania GO	APARTAMENTO	4	4	3	242
3119	197.000	RESID ELDORADO	AVENIDA TRIESTE	Goiania GO	APARTAMENTO	2	1	1	58
3120	210.000	VILA JARAGUÁ	AVENIDA ENG FUAD RASSI	Goiania GO	APARTAMENTO	2	1	1	57
3121	360.000	SETOR BUENO	RUA T 65	Goiania GO	APARTAMENTO	3	1	2	84
3123	155.000	JD BOTANICO	RUA BOUGANVILIA	Goiania GO	CASA	3	1	2	108
3124	1.850.000	JDS ATENAS	JARDINS ATENAS	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	320
3127	294.000	PQ AMAZONIA	AVENIDA JOSE RODRIGUES DE MORAIS NETO	Goiania GO	APARTAMENTO	3	1	1	87
3130	316.840	SETOR OESTE	AVENIDA D	Goiania GO	APARTAMENTO	2	1	1	70
3131	1.600.000	RESID GRANVILLE	RUA GV 4	Goiania GO	CASA DE CONDOMÍNIO	4	4	2	365
3132	1.058.491	SETOR MARISTA	RUA 1124	Goiania GO	APARTAMENTO	3	3	2	157
3136	350.000	VL JD VITORIA	AVENIDA NOSSA SENHORA DO ROSARIO	Goiania GO	CASA	4	1	5	180
3137	905.677	JD MARILIZA	AVENIDA PIO CORREIA	Goiania GO	CASA DE CONDOMÍNIO	4	4	2	206
3139	384.000	SETOR BUENO	RUA T 33	Goiania GO	APARTAMENTO	2	2	2	70
3140	145.000	PQ ELDORADO OESTE	RODOVIA GYN 20	Goiania GO	CASA	2	2	2	66
3147	168.500	VILA ROSA	AVENIDA FRANCISCO DE MELO	Goiania GO	APARTAMENTO	2	1	1	50
3150	700.000	SETOR BUENO	RUA T 59	Goiania GO	APARTAMENTO	4	2	2	142
3151	1.650.000	SETOR BUENO	RUA T 53	Goiania GO	APARTAMENTO	4	4	4	275
3153	400.000	SETOR BUENO	T 13	Goiania GO	APARTAMENTO	3	1	2	79
3154	816.000	SETOR BUENO	RUA T 27	Goiania GO	APARTAMENTO	3	3	3	153
3156	275.000	ALTO DA GLORIA	AV SAO JOAO	Goiania GO	APARTAMENTO	2	1	1	62
3159	821.000	SETOR BUENO	RUA T 27	Goiania GO	APARTAMENTO	3	3	3	153
3160	250.000	SETOR BUENO	AVENIDA T 13	Goiania GO	APARTAMENTO	2	1	1	51
3161	350.000	LESTE VL NOVA	RUA 208	Goiania GO	APARTAMENTO	3	1	2	87
3163	360.000	RESID ELDORADO	AVENIDA ROMA	Goiania GO	APARTAMENTO	3	3	2	99
3166	650.000	PQ AMAZONIA	AVENIDA ALEXANDRE DE MORAIS	Goiania GO	CASA	4	2	3	169
3169	349.000	ALTO DA GLORIA	AV SAO JOAO	Goiania GO	APARTAMENTO	3	1	2	76
3170	600.000	SETOR BUENO	AVENIDA T 4	Goiania GO	APARTAMENTO	4	2	2	197
3171	370.000	SETOR BUENO	AVENIDA T 4	Goiania GO	APARTAMENTO	4	2	1	120
3173	790.000	SETOR BUENO	RUA T 47	Goiania GO	APARTAMENTO	3	3	3	144
