	price	sector	street	city	type	room	suite	park	m2
6312	510.000	SETOR BUENO	RUA T 27	Goiania GO	APARTAMENTO	3	1	2	105
6315	450.000	JD GOIAS	RUA 52	Goiania GO	APARTAMENTO	3	1	2	79
6319	230.000	SETOR PEDRO LUDOVICO	AVENIDA RADIAL	Goiania GO	APARTAMENTO	3	1	1	73
6323	380.000	SETOR BUENO	R T 37	Goiania GO	APARTAMENTO	2	1	1	70
6325	260.000	SETOR LESTE VL NOVA	RUA 224	Goiania GO	APARTAMENTO	2	1	1	62
6326	230.000	MOINHO DOS VENTOS	NO INFORMADO	Goiania GO	CASA	3	1	1	118
6327	450.000	ALTO DA GLORIA	R NATAL	Goiania GO	APARTAMENTO	4	1	2	94
6334	990.000	SETOR OESTE	RUA 7	Goiania GO	APARTAMENTO	4	3	2	260
6335	465.150	SETOR BUENO	AVENIDA T 14	Goiania GO	APARTAMENTO	3	3	2	119
6336	370.000	SETOR OESTE	RUA K QUADRA D-11 LOTES 74-76-78  80-82 SETOR OESTE GOIÂNIA - GO	Goiania GO	APARTAMENTO	2	1	1	69
6337	205.700	BAIRRO FELIZ	RUA L11	Goiania GO	APARTAMENTO	3	1	1	64
6342	700.000	SETOR BUENO	R T 36	Goiania GO	APARTAMENTO	4	4	2	130
6347	318.199	SETOR OESTE	RUA K	Goiania GO	APARTAMENTO	2	1	1	70
6349	458.397	ALTO DA GLORIA	AV ENG EURICO VIANA	Goiania GO	APARTAMENTO	3	3	2	87
6355	680.000	SETOR PEDRO LUDOVICO	RUA 1001	Goiania GO	CASA	4	2	2	300
6356	310.000	VILLAGE VENEZA	RUA VV 5	Goiania GO	APARTAMENTO	3	2	1	89
6357	165.000	FAMA	AV MAL RONDON	Goiania GO	APARTAMENTO	3	1	1	70
6359	1.100.000	RESID GRANVILLE	RUA GV 24	Goiania GO	CASA DE CONDOMÍNIO	4	4	2	307
6360	300.000	ALTO DA GLORIA	AV ENG EURICO VIANA	Goiania GO	APARTAMENTO	2	2	1	64
6363	482.000	JD GOIAS	RUA 55	Goiania GO	APARTAMENTO	3	1	1	108
6364	336.000	JD GOIAS	AVENIDA DEPUTADO JAMEL CECILIO	Goiania GO	APARTAMENTO	2	1	1	51
6367	241.000	SETOR NEGRAO DE LIMA	RUA 401	Goiania GO	APARTAMENTO	3	1	1	68
6370	360.000	JARDIM ATLÂNTICO	RUA ASTERIA,DA	Goiania GO	CASA DE CONDOMÍNIO	3	1	2	92
6379	195.000	JD ELI FORTE	RUA EF 8	Goiania GO	CASA	3	1	3	105
6380	900.000	SETOR MARISTA	RUA 34	Goiania GO	APARTAMENTO	4	4	2	175
6381	1.200.000	RESID GRANVILLE	RUA GV 24	Goiania GO	CASA DE CONDOMÍNIO	3	3	4	368
6383	180.000	JARDIM ATLÂNTICO	AVENIDA IPANEMA	Goiania GO	APARTAMENTO	2	1	1	60
6384	459.792	SETOR LESTE UNIVERSITARIO	RUA 261	Goiania GO	APARTAMENTO	3	3	3	95
6385	545.000	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	3	3	2	108
6388	780.000	SETOR BUENO	RUA T 51	Goiania GO	APARTAMENTO	3	3	2	111
6389	400.000	JD MARILIZA	RUA PEROBA	Goiania GO	CASA	3	1	4	150
6391	800.000	SETOR BUENO	RUA T 51	Goiania GO	APARTAMENTO	4	3	3	144
6392	460.000	SETOR LESTE UNIVERSITARIO	PRACA UNIVERSITARIA	Goiania GO	APARTAMENTO	3	3	2	102
6393	800.000	SETOR BUENO	RUA T 51	Goiania GO	APARTAMENTO	3	3	3	144
6396	3.010.550	SETOR MARISTA	ALAMEDA DR SEBASTIAO FLEURY	Goiania GO	APARTAMENTO	4	4	4	362
6399	502.446	SETOR LESTE UNIVERSITARIO	RUA 242	Goiania GO	APARTAMENTO	3	3	2	102
6401	1.950.000	ALPHAVILLE GOIAS	ALPHAVILLE  RESIDENCIAL GOIÁS	Goiania GO	CASA DE CONDOMÍNIO	3	3	4	360
6404	330.000	RESID FLAMINGO	AVENIDA BENEDITO GONCALVES DE ARAUJO	Goiania GO	CASA	3	1	3	130
6408	1.050.000	JDS VALENCIA	RUAS DOS IPÈS Q 13 LOT 16  JARDIN VALENCIA	Goiania GO	CASA	4	4	4	217
6411	545.935	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	3	3	2	108
6412	850.000	SETOR BUENO	RUA T 51	Goiania GO	APARTAMENTO	3	3	2	144
6413	252.000	JARDIM ATLÂNTICO	RUA SIRI,DO	Goiania GO	APARTAMENTO	2	1	1	63
6415	1.500.000	JDS VALENCIA	R JATOBAS,DOS	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	419
6419	550.000	SETOR OESTE	RUA 8	Goiania GO	APARTAMENTO	3	3	3	145
6421	650.000	SETOR AEROPORTO	18 A	Goiania GO	APARTAMENTO	3	1	1	200
6422	571.000	JD GOIAS	RUA 55	Goiania GO	APARTAMENTO	3	3	2	108
6423	310.000	SETOR SUDOESTE	RUA C 48	Goiania GO	APARTAMENTO	3	1	1	70
6424	1.300.000	RESID ALDEIA DO VALE	ALAMEDA MANGUBAS,DAS	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	380
6427	239.000	ARAGUAIA PARK	RUA OZORIO OLIVEIRA	Goiania GO	CASA	3	1	6	230
6428	550.000	SETOR JAO	AVENIDA CRISTO REI	Goiania GO	CASA	3	1	2	202
6431	530.000	JARDIM ATLÂNTICO	AVENIDA COPACABANA	Goiania GO	APARTAMENTO	3	3	2	119
6432	219.000	RESID ELDORADO	RUA VV 5	Goiania GO	APARTAMENTO	2	1	2	56
6443	250.000	PQ AMAZONIA	RUA MARAJO	Goiania GO	APARTAMENTO	2	1	1	60
6444	325.000	SETOR LESTE UNIVERSITARIO	RUA 257	Goiania GO	APARTAMENTO	3	1	1	70
6445	480.000	STA GENOVEVA	RUA GUARIROBA	Goiania GO	CASA	3	1	4	208
6447	220.000	VILA ROSA	RUA ALAOR MENDONCA	Goiania GO	APARTAMENTO	2	1	1	57
6448	220.000	VILA ROSA	RUA ALAOR MENDONCA	Goiania GO	APARTAMENTO	2	1	1	57
6450	400.000	PQ AMAZONIA	RUA BELO HORIZONTE	Goiania GO	APARTAMENTO	3	3	2	92
6451	160.000	COND DAS ESMERALDAS	RUA 49	Goiania GO	CASA	2	1	2	70
6452	3.200.000	ALPHAVILLE IPE	X	Goiania GO	CASA DE CONDOMÍNIO	4	4	6	427
6453	238.000	SETOR BELA VISTA	RUA S 2	Goiania GO	APARTAMENTO	3	1	1	92
6456	210.000	SETOR BELA VISTA	AVENIDA T 13	Goiania GO	APARTAMENTO	2	1	1	69
6457	3.100.000	RESID GRANVILLE	RUA GV 18	Goiania GO	CASA DE CONDOMÍNIO	4	4	3	460
6458	5.380.000	RESID ALPHAVILLE FLAMBOYANT	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	630
6459	520.000	JD GOIAS	RUA 12	Goiania GO	APARTAMENTO	3	2	2	92
6462	1.000.000	PORTAL DO SOL	RUA SB 2	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	260
6464	450.000	JARDIM AMÉRICA	RUA C 24	Goiania GO	CASA	2	1	2	212
6465	220.000	SETOR SUDOESTE	PRACA C 11	Goiania GO	APARTAMENTO	3	1	2	89
6467	220.000	VILA JARAGUÁ	RUA 21	Goiania GO	APARTAMENTO	2	1	1	62
6468	799.000	SETOR MARISTA	RUA 30	Goiania GO	APARTAMENTO	3	3	3	150
6473	330.000	RESID VEREDA DOS BURITIS	RUA VB 20	Goiania GO	CASA	3	1	5	173
6474	780.000	SETOR BUENO	AVENIDA T 1	Goiania GO	APARTAMENTO	4	3	2	144
6475	280.000	SETOR BELA VISTA	RUA S 2	Goiania GO	APARTAMENTO	3	2	2	79
6476	261.567	SETOR NEGRAO DE LIMA	RUA 402	Goiania GO	APARTAMENTO	3	1	2	67
6487	182.184	PQ OESTE INDUSTRIAL	RUA CAMELIAS,DAS	Goiania GO	APARTAMENTO	2	1	1	54
6490	186.000	VILA ROSA	RUA ABILIO ALVES DE CASTRO	Goiania GO	APARTAMENTO	2	1	1	59
6491	290.000	SETOR URIAS MAGALHAES	RUA PARA	Goiania GO	CASA	3	1	4	200
6492	740.000	SETOR OESTE	RUA R 17	Goiania GO	APARTAMENTO	3	3	2	140
6493	330.000	SETOR BELA VISTA	RUA S 6	Goiania GO	APARTAMENTO	2	2	1	94
6494	189.000	PQ OESTE INDUSTRIAL	AVENIDA PEDRO LUDOVICO TEIXEIRA	Goiania GO	APARTAMENTO	3	1	2	65
6497	230.000	PQ AMAZONIA	RUA MACEIO	Goiania GO	APARTAMENTO	2	1	1	68
6499	550.000	JD ANA LUCIA	RUA UBERABA	Goiania GO	CASA	4	1	3	181
6500	450.000	SETOR BUENO	R T 36	Goiania GO	APARTAMENTO	3	3	2	119
6502	330.000	SETOR OESTE	RUA R 17	Goiania GO	APARTAMENTO	3	1	1	72
6506	218.000	SETOR NEGRAO DE LIMA	RUA 408	Goiania GO	APARTAMENTO	2	1	1	58
6507	225.000	ALTO DA GLORIA	RUA CEL SERAFIM AGAPITO	Goiania GO	APARTAMENTO	2	1	1	65
6509	1.100.000	CELINA PARK	RUA GV 24	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	350
6511	278.000	JARDIM ATLÂNTICO	RUA DO SIRI QD 93 LT. 14 A 19	Goiania GO	APARTAMENTO	2	1	2	63
6512	670.000	SETOR BUENO	AV T 5	Goiania GO	APARTAMENTO	4	2	2	146
6513	215.000	JARDIM ATLÂNTICO	RUA ICARAI,DE	Goiania GO	APARTAMENTO	2	1	1	62
6514	160.000	COND DAS ESMERALDAS	R AC 2	Goiania GO	CASA	2	1	1	90
6516	185.000	JD COLORADO	RUA: SC 33	Goiania GO	CASA	3	1	2	83
6517	950.000	SETOR OESTE	RUA R 12	Goiania GO	APARTAMENTO	5	4	3	156
6519	950.000	JDS VALENCIA	AV MARGINAL BARRETO	Goiania GO	CASA	4	4	2	225
6521	391.642	SETOR GOIANIA 2	AVENIDA PEDRO PAULO DE SOUZA	Goiania GO	APARTAMENTO	3	3	2	106
6522	350.000	JD EUROPA	AVENIDA MADRID	Goiania GO	CONJUNTO COMERCIAL/SALA	3	1	4	185
6524	399.900	SETOR CENTRAL	RUA 29 A	Goiania GO	APARTAMENTO	2	2	1	79
6525	726.000	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	4	4	2	128
6526	730.612	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	4	4	2	128
6528	2.490.000	SETOR BUENO	RUA T - 66	Goiania GO	APARTAMENTO	4	4	4	326
6529	800.000	LOTEAMENTO PORTAL DO SOL I	RUA SB 10	Goiania GO	CASA DE CONDOMÍNIO	3	3	4	230
6530	380.000	SETOR GOIANIA 2	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	3	3	2	98
6532	260.000	SETOR BELA VISTA	RUA S 6	Goiania GO	APARTAMENTO	3	1	1	86
6533	147.000	FORTEVILLE	R FV 32	Goiania GO	CASA	2	1	2	64
6534	250.000	RESID FLAMINGO	AVENIDA BENEDITO GONCALVES DE ARAUJO	Goiania GO	CASA	3	1	2	110
6536	500.000	SITIO DE RECREIO IPE	R DONA FIRMINA	Goiania GO	CASA DE CONDOMÍNIO	3	1	4	129
6537	850.000	SETOR LESTE VL NOVA	AVENIDA NONA AV	Goiania GO	CASA	4	1	4	353
6538	290.000	ITATIAIA	RUA R 35	Goiania GO	CASA	3	1	3	150
6540	580.000	SETOR BUENO	RUA T 55	Goiania GO	APARTAMENTO	2	2	2	75
6541	760.100	SETOR BUENO	RUA T 27	Goiania GO	APARTAMENTO	3	3	3	153
6542	258.500	VILA MARIA JOSÉ	RUA CEL SERAFIM AGAPITO	Goiania GO	APARTAMENTO	2	1	1	57
6543	255.000	JARDIM PRESIDENTE	RUA PRES HERMES DA FONSECA	Goiania GO	CASA	3	1	3	100
6549	890.925	SETOR MARISTA	AVENIDA D	Goiania GO	APARTAMENTO	3	3	3	160
6550	196.000	RESID ELDORADO	AV MILÃO	Goiania GO	APARTAMENTO	2	1	1	64
6553	385.000	SETOR NOVA SUICA	RUA CORDOBA	Goiania GO	APARTAMENTO	3	3	2	89
6555	265.000	SETOR BUENO	AVENIDA T-0005	Goiania GO	APARTAMENTO	2	1	2	73
6558	1.980.000	ALDEIA DO VALE	ALAMEDA CARAIBAS,DAS	Goiania GO	CASA DE CONDOMÍNIO	5	4	4	510
6559	535.000	LOZANDES PARK	AVENIDA PL 2	Goiania GO	APARTAMENTO	3	3	2	105
6560	767.000	SETOR MARISTA	RUA 1124	Goiania GO	APARTAMENTO	3	3	2	140
6563	2.650.000	JDS MILAO	R VITORIAS DAS REGIAS	Goiania GO	CASA DE CONDOMÍNIO	5	4	4	750
6566	270.000	JD EUROPA	RUA IRLANDA	Goiania GO	CASA	4	1	4	150
6570	950.000	LOT PORTAL DO SOL I	RUA SB 1	Goiania GO	CASA DE CONDOMÍNIO	5	2	4	320
6571	1.020.000	SETOR OESTE	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	3	3	3	198
6572	860.000	SETOR BUENO	RUA T 48	Goiania GO	APARTAMENTO	3	3	3	189
6581	265.000	SETOR NEGRAO DE LIMA	RUA DONA STELA	Goiania GO	APARTAMENTO	3	1	2	78
6583	220.000	PQ INDUSTRIAL PAULISTA	RUA PENIDO BURNIER	Goiania GO	APARTAMENTO	2	1	1	62
6586	500.000	SETOR PEDRO LUDOVICO	AL LEOPOLDO DE BULHOES	Goiania GO	APARTAMENTO	4	3	2	140
6587	390.000	SETOR ALTO DO VALE	RUA SAMIR HELOU	Goiania GO	CASA	3	1	4	207
6588	410.000	JD FONTE NOVA	RUA FN 19	Goiania GO	CASA	3	1	3	250
6589	489.000	SETOR BUENO	R T 37	Goiania GO	APARTAMENTO	3	3	2	108
6593	399.000	JARDIM ATLÂNTICO	AVENIDA COPACABANA	Goiania GO	APARTAMENTO	3	1	2	95
6594	590.000	PARQUE ANHANGUERA	RUA GAL OSORIO	Goiania GO	CASA	3	3	4	222
6596	370.000	SETOR BUENO	RUA T-65 COM A RUA T-5	Goiania GO	APARTAMENTO	3	1	1	87
6597	2.500.000	SETOR OESTE	RUA 1	Goiania GO	APARTAMENTO	4	4	4	565
6598	263.000	JARDIM AMÉRICA	RUA C 139	Goiania GO	APARTAMENTO	3	1	1	79
6599	360.000	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	3	1	2	88
6600	390.000	STA GENOVEVA	RUA PECUARIA	Goiania GO	CASA	3	3	2	138
6601	800.000	JDS MADRI	RUA MADRI 32	Goiania GO	CASA	3	3	2	210
6603	460.000	SETOR SUL	AVENIDA 136	Goiania GO	APARTAMENTO	3	3	3	160
6604	315.000	PARQUE ANHANGUERA	RUA BARAO DO RIO BRANCO	Goiania GO	CASA DE CONDOMÍNIO	3	1	2	130
6605	235.000	SETOR BUENO	AVENIDA T 4	Goiania GO	APARTAMENTO	2	1	1	60
6606	490.000	SETOR BUENO	AVENIDA T 14	Goiania GO	APARTAMENTO	3	3	2	113
6609	465.000	SETOR BUENO	RUA T 59	Goiania GO	APARTAMENTO	2	2	2	95
6610	390.000	JD GOIAS	RUA 54	Goiania GO	APARTAMENTO	3	1	2	86
6614	425.000	JARDIM AMÉRICA	RUA C 210	Goiania GO	CASA	4	2	2	179
6617	1.990.000	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	4	4	3	271
6619	187.500	PQ AMAZONIA	AVENIDA LAGUNA	Goiania GO	APARTAMENTO	2	1	1	58
6622	2.300.000	JDS MADRI	RUA MADRI 32	Goiania GO	CASA DE CONDOMÍNIO	5	5	2	383
6624	2.140.000	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	4	4	4	291
6625	190.000	SETOR RIO FORMOSO	VIA SANTA LUZIA	Goiania GO	CASA	3	1	2	96
6626	285.000	PQ AMAZONIA	AVENIDA LAGUNA	Goiania GO	APARTAMENTO	3	1	2	76
6627	420.000	RESID CLEA BORGES	RUA CABO 5	Goiania GO	CASA	4	3	2	256
6628	395.000	SETOR CENTRAL	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	4	1	1	120
6629	275.000	SETOR AEROPORTO	RUA 16 A	Goiania GO	APARTAMENTO	3	1	2	98
6630	250.000	RESID ELDORADO	AV RAVENA	Goiania GO	APARTAMENTO	3	2	2	77
6631	800.000	SETOR MARISTA	RUA 1124	Goiania GO	CASA	4	4	3	240
6632	260.000	RESID ELDORADO	AV RAVENA	Goiania GO	APARTAMENTO	3	3	2	93
6634	187.852	PQ OESTE INDUSTRIAL	AVENIDA PEDRO LUDOVICO TEIXEIRA	Goiania GO	APARTAMENTO	2	1	1	54
6636	565.000	SETOR BELA VISTA	RUA S 5	Goiania GO	APARTAMENTO	3	1	3	128
6638	310.000	SETOR BUENO	R T 38	Goiania GO	APARTAMENTO	3	1	1	120
6641	240.000	PQ AMAZONIA	RUA MARAJO	Goiania GO	APARTAMENTO	2	1	1	61
6642	480.000	SETOR JAO	RUA J 72	Goiania GO	CASA	3	1	3	124
6643	495.000	JD GOIAS	RUA 77	Goiania GO	APARTAMENTO	3	3	2	96
6645	495.000	JD GOIAS	RUA 54	Goiania GO	APARTAMENTO	3	3	2	115
6646	1.800.000	SETOR MARISTA	RUA T 53	Goiania GO	CASA COMERCIAL	5	5	4	490
6649	300.000	SETOR SUDOESTE	RUA A 20	Goiania GO	APARTAMENTO	3	1	2	82
6651	1.100.000	JDS LISBOA	R PRIMAVERAS,DAS	Goiania GO	CASA DE CONDOMÍNIO	3	3	4	239
6652	495.000	SETOR LESTE UNIVERSITARIO	RUA 222	Goiania GO	APARTAMENTO	3	3	2	106
6656	235.000	PQ AMAZONIA	RUA MARAJO	Goiania GO	APARTAMENTO	2	1	1	61
6657	185.000	JD COLORADO	RUA SC 43	Goiania GO	CASA	3	1	1	82
6658	1.950.000	SETOR MARISTA	RUA 36	Goiania GO	APARTAMENTO	4	4	5	326
6659	225.000	PQ DAS FLORES	RUA FL 39	Goiania GO	CASA	3	1	3	130
6661	850.000	SETOR BUENO	RUA T 59	Goiania GO	APARTAMENTO	4	2	3	167
6662	300.000	ALTO DA GLORIA	R FORTALEZA	Goiania GO	APARTAMENTO	2	1	1	60
6663	1.950.000	RESID ALPHAVILLE FLAMBOYANT	RUA QUIRINOPOLIS	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	400
6664	330.000	PQ AMAZONIA	RUA POCEMA	Goiania GO	APARTAMENTO	3	1	1	83
6668	410.000	RESID CENTER VILLE	RUA CV 24	Goiania GO	CASA DE CONDOMÍNIO	3	1	2	131
6670	420.000	SETOR BUENO	AVENIDA T 4	Goiania GO	APARTAMENTO	3	2	2	80
6671	4.600.000	RESID ALPHAVILLE	VIA ALPHAVILLE	Goiania GO	CASA DE CONDOMÍNIO	5	5	4	650
6673	500.000	ALTO DA GLORIA	R NATAL	Goiania GO	APARTAMENTO	3	1	2	100
6674	170.000	RESID RECREIO PANORAMA	RUA F	Goiania GO	CASA	2	1	2	58
6678	1.190.000	SETOR MARISTA	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	4	4	3	178
6679	900.000	SETOR BUENO	RUA RACHID AUAD	Goiania GO	APARTAMENTO	3	3	3	244
6681	554.009	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	3	3	2	118
6682	780.000	SETOR BUENO	RUA T 29	Goiania GO	APARTAMENTO	4	2	2	146
6684	360.000	VILA ALPES	RUA A 13	Goiania GO	APARTAMENTO	3	1	2	90
6686	450.000	SETOR URIAS MAGALHAES	AVENIDA MANTIQUEIRA	Goiania GO	CASA	4	1	8	200
6688	179.900	SETOR MARECHAL RONDON	AV MAL RONDON	Goiania GO	APARTAMENTO	3	1	1	70
6691	2.000.000	ALDEIA DO VALE	RUA PALMEIRAS,DAS	Goiania GO	CASA DE CONDOMÍNIO	5	5	3	508
6693	700.000	SETOR OESTE	RUA 3	Goiania GO	APARTAMENTO	4	4	2	300
6696	350.000	SETOR PEDRO LUDOVICO	AVENIDA ANTONIO MARTINS BORGES	Goiania GO	CASA	3	1	2	180
6700	520.000	SETOR BUENO	PRACA T 19	Goiania GO	APARTAMENTO	3	3	2	100
6702	1.800.000	RESID ALDEIA DO VALE	R BURITIS,DOS	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	420
6703	319.000	SETOR GOIANIA 2	RUA HORTENSIAS,DAS	Goiania GO	CASA	3	1	2	123
6704	740.000	SETOR MARISTA	RUA 145 E RUA 144, QUADRA 63, LOTE 13-20/23	Goiania GO	APARTAMENTO	3	3	3	140
6706	1.350.000	SETOR MARISTA	RUA 36	Goiania GO	APARTAMENTO	4	4	3	241
6708	480.000	SETOR BUENO	RUA T 30	Goiania GO	APARTAMENTO	3	3	2	100
6710	1.000.000	SETOR CENTRAL	RUA 16	Goiania GO	APARTAMENTO	4	3	2	243
6715	1.149.000	SETOR MARISTA	ALAMEDA RICARDO PARANHOS	Goiania GO	APARTAMENTO	4	4	3	218
6717	2.499.999	SETOR JAO	ALAMEDA PAMPULHA	Goiania GO	CASA	5	2	5	1000
6718	590.000	SETOR BUENO	RUA T 64	Goiania GO	APARTAMENTO	3	3	2	151
6719	1.100.000	SETOR OESTE	PRACA MAES,DAS	Goiania GO	APARTAMENTO	3	3	3	198
6728	540.000	SETOR BUENO	RUA T 32	Goiania GO	APARTAMENTO	3	3	2	94
6729	160.000	RESID KATIA	R ARMINDA MARIA DE LIMA	Goiania GO	CASA	2	1	2	70
6730	890.000	SETOR BUENO	RUA T 62	Goiania GO	APARTAMENTO	3	3	3	240
6731	2.400.000	ALPHAVILLE FLAMBOYANT	VIA ALPHAVILLE	Goiania GO	CASA DE CONDOMÍNIO	3	3	4	400
6732	370.000	SETOR CENTRAL	RUA 8	Goiania GO	APARTAMENTO	3	1	1	152
6733	170.000	SETOR TRES MARIAS	R MOROS,DOS	Goiania GO	CASA	2	1	2	70
6734	2.200.000	JD GOIAS	RUA 15	Goiania GO	APARTAMENTO	4	4	4	330
6736	300.000	RESID CID VERDE	AVENIDA JAIME CAMARA	Goiania GO	CASA	3	1	2	114
6737	698.000	SETOR BUENO	AVENIDA T 13	Goiania GO	APARTAMENTO	3	3	2	126
6738	207.000	JARDIM ATLÂNTICO	AVENIDA LAGUNA	Goiania GO	APARTAMENTO	2	1	1	58
6739	580.000	JD GOIAS	RUA 54	Goiania GO	APARTAMENTO	3	1	2	123
6745	1.200.000	SETOR BUENO	PRACA T 23	Goiania GO	APARTAMENTO	3	3	3	179
6746	225.000	VILA ALPES	AVENIDA ALPES,DOS	Goiania GO	APARTAMENTO	3	1	1	75
6747	480.000	SETOR BUENO	RUA T 48	Goiania GO	APARTAMENTO	3	2	2	108
6748	1.066.000	SETOR OESTE	RUA 6	Goiania GO	APARTAMENTO	3	3	3	168
6752	450.000	SETOR PEDRO LUDOVICO	RUA 1040	Goiania GO	APARTAMENTO	3	3	2	85
6753	500.000	SETOR BELA VISTA	RUA T 62	Goiania GO	APARTAMENTO	3	1	2	124
6754	289.000	JD GOIAS	RUA 12	Goiania GO	APARTAMENTO	2	1	1	65
6755	730.000	SETOR OESTE	RUA JOAO DE ABREU	Goiania GO	APARTAMENTO	4	4	3	201
6758	240.000	SETOR NEGRAO DE LIMA	RUA 408 QD. A, LOTE 8/16	Goiania GO	APARTAMENTO	2	1	2	58
6764	2.900.000	ALPHAVILLE FLAMBOYANT RESID ARAGUAIA	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	459
6769	720.000	SETOR MARISTA	RUA 1124	Goiania GO	APARTAMENTO	3	3	3	157
6771	750.000	SETOR OESTE	RUA R 17	Goiania GO	APARTAMENTO	3	3	2	140
6772	440.000	SETOR BUENO	RUA T 28	Goiania GO	APARTAMENTO	3	3	2	119
6775	380.000	SETOR BUENO	RUA T 65	Goiania GO	APARTAMENTO	3	1	1	98
6777	370.000	SETOR BUENO	R T 37	Goiania GO	APARTAMENTO	3	1	1	105
6778	280.000	PQ AMAZONIA	RUA UIRAPURU	Goiania GO	APARTAMENTO	3	1	2	74
6779	219.000	SETOR SANTOS DUMONT	RUA 9 DE JULHO	Goiania GO	APARTAMENTO	3	1	1	76
6782	291.674	S FRANCISCO	RUA HUMAITA	Goiania GO	APARTAMENTO	3	3	2	77
6785	520.000	RESID ELDORADO	AVENIDA NAPOLI	Goiania GO	APARTAMENTO	3	3	2	108
6788	1.300.000	JD GOIAS	RUA 66	Goiania GO	APARTAMENTO	4	3	4	214
6789	349.800	SETOR BUENO	R T 37	Goiania GO	APARTAMENTO	2	2	1	66
6790	850.000	ALTO DA GLORIA	RUA NATAL	Goiania GO	APARTAMENTO	3	3	2	154
6791	1.990.000	JDS MILAO	R ACACIAS,DAS	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	542
6794	440.000	SETOR BUENO	RUA T 50	Goiania GO	APARTAMENTO	3	1	2	94
6795	263.500	VILA MARIA JOSÉ	RUA CEL SERAFIM AGAPITO	Goiania GO	APARTAMENTO	2	1	1	57
6796	650.000	JARDIM AMÉRICA	RUA C 137	Goiania GO	CASA	3	3	5	190
6800	1.350.000	JDS VALENCIA	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA DE CONDOMÍNIO	4	4	6	300
6802	248.000	SETOR BELA VISTA	RUA S 5	Goiania GO	APARTAMENTO	3	1	1	79
6803	1.360.000	JDS VALENCIA	ENDEREÇO NÃO INFORMADO	Goiania GO	CASA DE CONDOMÍNIO	4	4	2	304
6804	715.000	SETOR BUENO	RUA T 27	Goiania GO	APARTAMENTO	3	3	2	153
6807	870.000	SETOR BUENO	ENDEREÇO NÃO INFORMADO	Goiania GO	APARTAMENTO	3	3	3	180
6809	159.000	VILA ROSA	AVENIDA FRANCISCO DE MELO	Goiania GO	APARTAMENTO	2	1	1	55
6810	385.000	SETOR BUENO	RUA T 55	Goiania GO	APARTAMENTO	2	2	1	70
6812	290.000	SETOR LESTE UNIVERSITARIO	RUA 261 A	Goiania GO	APARTAMENTO	2	1	2	58
6814	500.000	JARDIM AMÉRICA	RUA C 212	Goiania GO	CASA	4	2	3	280
6815	185.000	VILA ROSA	RUA ABILIO ALVES DE CASTRO	Goiania GO	APARTAMENTO	2	1	1	59
6817	680.000	SETOR BUENO	R T 37	Goiania GO	APARTAMENTO	3	3	2	133
6820	1.167.062	PARK LOZANDES	AVENIDA PL 3	Goiania GO	APARTAMENTO	4	4	3	228
6822	1.380.000	JD GOIAS	RUA 15	Goiania GO	APARTAMENTO	4	3	2	222
6823	1.700.000	RESID GRANVILLE	AVENIDA RAVENA	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	357
6825	298.000	PQ AMAZONIA	RUA MATUPÃ ESQUINA COM ALAMEDA JUAZEIRO DO NORTE	Goiania GO	CASA	3	1	2	86
6830	400.000	SETOR OESTE	RUA RUY BRASIL CAVALCANTE	Goiania GO	APARTAMENTO	3	2	2	104
6831	220.000	MOINHO DOS VENTOS	R MDV 11	Goiania GO	CASA	3	1	2	109
6833	385.000	SETOR OESTE	RUA R 13	Goiania GO	APARTAMENTO	2	1	1	82
6834	850.000	SERRINHA	RUA SAMUEL MORSE	Goiania GO	APARTAMENTO	4	4	3	154
6836	1.695.000	JDS VALENCIA	R PRIMAVERAS,DAS	Goiania GO	CASA DE CONDOMÍNIO	4	4	4	330
6837	800.000	SETOR OESTE	RUA JOÃO DE ABREU ESQ.COM 15	Goiania GO	APARTAMENTO	4	4	3	219
6838	370.000	SETOR OESTE	AVENIDA R 11	Goiania GO	APARTAMENTO	3	1	1	102
