	id	label
279	48	S FRANCISCO
280	235	JARDIM GUANABARA
281	49	RESID ELDORADO EXPANSAO
282	143	RESID HUMAITÁ
283	173	CH STA RITA
284	19	CENTRO
285	146	RESID SOLAR VILLE
286	290	VL UNIAO
287	86	LOTEAMENTO PORTAL DO SOL I
288	28	SETOR SANTOS DUMONT
289	95	STO HILARIO
290	257	RESID FLAMINGO
291	6	JARDIM AMÉRICA
292	20	SETOR AEROPORTO
293	5	SETOR MARISTA
294	123	JD GRAMADO
295	273	JD CLARISSA
296	100	SETOR URIAS MAGALHAES
297	24	SETOR SUDOESTE
