	id	label
549	756	RUA CORONEL SERAFIM AGAPITO QD. 09 LT. 03 E 04 VILA MARIA JOSÉ GOIÂNIA - GOIÁS
550	501	RUA 17
551	734	R G
552	430	RUA RI 17
553	248	AV. SUCURI C AL. MARCANÃ QD 20 LTS 234
554	291	RUA PALMEIRAS,DAS
555	363	RUA ALBERTO RASSI
556	704	RUA VI 14
557	780	RUA DR LAUREANO
558	956	AV 1
559	785	RUA DESEMBARGADOR AIROSA ALVES DE CASTRO
560	3	RUA CHARITA,DA
561	495	AVENIDA LAURICIO PEDRO RASMUSSEM
562	520	RUA PENIDO BURNIER
563	1113	RUA A 29
564	1064	RUA 115 G
565	1385	RUA DAS CAMELIAS QD 16
566	1395	RUA X 40
567	1206	RUA F 2
568	1032	AVENIDA CASCAVEL
569	438	RUA 240
570	1176	R BURITIS,DOS
571	891	RUA 42 QD. 102 LT 25
572	1433	RUA FL 20
573	239	RUA C 249
574	521	RUA 134
575	54	PRACA DR PEDRO LUDOVICO TEIXEIRA
576	572	RUA C 86
577	1218	AV VEREDA DOS BURITIS
578	1260	RUA C 84
579	950	RUA SENHOR 18
580	1255	RUA CRISTOVAO COLOMBO
581	216	AVENIDA PL 3
582	1100	RUA CP 27
583	170	FORTEVILLE
584	1332	AVENIDA GABRIEL HENRIQUE DE ARAUJO
585	158	RUA J 52
586	673	R JOSE MONTEIRO DA COSTA
587	644	AVENIDA FRANCISCO DE MELO
588	1137	PRACA UNIVERSITARIA
589	2	RUA T 64
590	1075	RUA 135 QD. 246 LTS. 181920 SETOR MARISTA GOIÂNIA-GO
591	528	RUA A 20
592	594	R IJUI
593	878	AVENIDA C 11
594	1423	RUA JO 43 QD 75 LOTE 09
595	1130	AVENIDA RADIAL
596	1147	PRACA C 11
597	765	AV IPES,DOS
598	740	RUA MADRI 16
599	309	RUA TURIACU
600	1105	RUA 202
601	945	RUA DO LAGO 27
602	1213	AVENIDA T- 36
603	599	AVENIDA DOMICIANO PEIXOTO
604	952	AV.T-14
605	123	RUA 1145
606	897	RUA RPS 9
607	981	RUA V 8
608	938	AVENIDA K
609	1088	RUA L11
610	922	AVENIDA SAO CARLOS
611	1422	R ARRAIAL DO CABO
612	1342	R PADRE ORMINDO VIVEIRO DE CASTRO
613	364	RUA 2
614	940	RUA SB 19
615	1370	RUA ABARA
616	340	AVENIDA C 107
617	300	R PARNAIBA
618	166	RUA 16
619	1166	RUA T-65 COM A RUA T-5
620	81	AVENIDA 24 DE OUTUBRO
621	1033	RUA SANTA ROSA
622	1053	ALAMEDA MOGNO,DO
623	513	ALAMEDA PERIMETRAL
624	1017	RUA J 62
625	1094	RUA MARIA ALICE
626	744	R MDV 1
627	524	AV JOSE LEANDRO DA CRUZ
628	680	RUA PRES VARGAS
629	905	RUA CAMELIAS,DAS
630	633	RUA MADRI 6
631	34	AVENIDA T 4
632	660	RUA NOVA AMERICA
633	1062	RUA NC 3
634	946	AVENIDA BERLIM
635	109	AVENIDA CASTELO BRANCO
636	445	294, R. PLH-4, 236
637	312	RUA 254
638	1149	RUA DO SIRI QD 93 LT. 14 A 19
639	419	RUA GV 30
640	159	RUA MP 4
641	675	R SRM 26
642	322	RUA LN 2
643	642	RUA ITAOCA
644	1273	ALAMEDA DAS ROSAS
645	64	AV ANTONIO CRISPIM
646	1437	RUA 137
647	913	RUA C 158 QD. 373 LT. 21
648	463	RUA FLORENCA
649	292	ALAMEDA DR SEBASTIAO FLEURY
650	259	RUA S 5
651	912	RUA F 58, QD.153, LT.18, CS 2
652	1116	RUA DOS CARVALHOS Q 2 LT 19
653	188	RUA 410
654	685	RUA A 27 QD. 19 LT. 08
655	264	RUA J 13
656	889	RUA C 136
657	577	RUA T-0038
658	1324	RUA T - 27
659	793	PRÓXIMO DO HORTO
660	383	ALAMEDA ASSIS CHATEAUBRIAND
661	1425	AVENIDA C 5
662	176	RUA S 4
663	541	ALAMEDA ALCIDES DE ARAUJO ROMAO
664	232	RUA C 228
665	1151	RUA: SC 33
666	185	AVENIDA MAMBAI
667	1327	RUA T-53 C T-33 QD. 93 LTS. 08 09 E 10
668	686	R 54, QD B 6, LT 12, CEP: 74.810-220, GOIANIA,
