?	price	sector	street	type	room	suite	park	m2
495	189.000	2	3	0	2	1	1	58
498	385.000	78	201	1	3	3	4	160
499	230.000	27	202	1	3	1	4	120
500	224.542	14	179	0	2	1	1	63
501	214.587	40	139	0	2	1	1	58
503	228.074	13	101	0	2	1	1	58
504	485.000	34	203	0	4	2	2	114
507	799.000	5	204	0	3	3	3	150
508	489.000	0	32	0	3	1	2	88
510	246.584	79	205	0	2	1	1	66
515	1.400.000	1	206	0	4	4	3	200
523	298.000	27	207	2	3	1	2	115
527	575.000	2	208	1	3	3	2	203
530	366.000	13	36	0	3	2	2	88
532	950.000	43	209	1	4	1	3	382
535	196.730	14	160	0	2	1	2	64
537	460.000	1	36	0	3	3	2	103
538	520.000	0	210	0	3	3	2	97
539	314.000	1	98	0	2	2	2	66
544	310.000	20	211	0	3	1	1	72
546	690.000	23	55	0	4	2	2	223
547	230.000	79	205	0	2	1	1	67
549	800.000	23	36	0	4	4	3	145
550	375.000	14	71	0	3	3	2	99
553	219.600	13	212	0	3	1	1	70
555	502.000	9	213	0	3	3	2	106
556	1.690.000	5	214	0	4	4	4	261
557	260.000	9	117	0	2	1	1	58
559	210.602	40	139	0	2	1	1	52
560	430.000	29	215	2	3	1	2	142
566	293.064	1	129	0	2	1	2	67
568	860.000	1	129	0	4	3	2	140
569	606.702	80	216	0	3	3	2	117
570	850.000	1	36	0	3	1	3	330
572	199.900	13	217	0	2	1	1	61
573	310.000	13	128	0	3	3	2	85
574	1.590.000	1	104	0	4	4	4	270
577	400.000	14	218	0	3	3	2	105
578	215.000	40	139	0	2	1	1	61
579	210.000	24	219	0	2	1	1	65
582	1.990.000	1	36	0	4	4	5	259
583	1.500.000	0	22	0	4	4	5	269
584	1.600.000	10	220	1	4	4	3	431
585	270.000	81	221	1	3	1	2	110
587	420.000	1	222	0	4	2	2	120
588	1.779.000	0	223	0	4	4	3	283
589	197.000	82	224	0	2	1	1	67
590	304.121	83	225	0	2	1	1	64
591	370.000	0	22	0	3	1	2	88
592	570.000	84	226	1	3	1	4	350
593	420.000	0	227	0	3	1	2	74
594	346.000	0	32	0	3	1	2	88
595	1.259.000	5	214	0	4	4	3	232
596	340.000	23	228	0	2	1	1	76
602	224.000	1	98	0	2	1	1	70
603	1.350.000	58	36	2	4	3	4	308
604	180.000	85	229	1	2	1	2	75
606	880.000	86	230	2	3	3	3	200
609	470.000	14	21	0	3	3	2	127
610	227.000	87	231	0	3	1	1	65
611	488.210	6	232	0	3	3	2	102
612	1.350.000	73	233	2	4	4	4	300
613	280.000	13	234	0	3	1	2	74
615	370.000	0	235	0	3	1	1	108
617	320.000	26	236	1	4	1	3	140
618	1.050.000	23	114	4	3	1	3	229
620	680.000	0	140	0	3	3	2	110
621	550.000	1	237	0	3	3	2	129
624	380.000	26	36	1	3	1	3	145
630	473.414	2	33	0	3	1	2	96
632	590.000	31	238	2	3	3	2	145
633	640.000	0	22	0	3	3	2	128
634	1.100.000	5	214	0	4	4	3	198
635	500.000	34	239	0	4	4	2	144
638	300.000	9	13	0	3	1	1	71
642	285.000	85	240	1	3	1	3	140
643	480.000	17	77	2	3	3	3	180
645	380.000	47	241	0	3	1	1	110
647	1.632.350	1	145	0	3	3	3	211
649	585.000	31	242	2	3	1	2	145
653	1.570.000	44	243	2	3	3	3	324
654	820.000	55	244	2	4	4	2	206
657	590.000	17	245	1	3	3	4	210
658	235.000	2	126	0	2	1	1	62
659	350.000	0	1	0	3	1	1	74
660	630.000	64	246	2	3	1	4	194
661	380.000	26	36	1	3	1	3	145
663	980.000	1	4	0	4	4	2	189
666	230.000	20	36	0	3	1	1	77
667	3.050.000	34	247	0	4	4	4	482
668	530.000	43	248	2	4	1	2	135
670	990.000	6	249	0	4	4	3	300
673	2.571.967	23	37	0	4	4	4	329
675	1.345.000	73	250	1	4	4	3	300
676	540.000	0	0	0	3	3	2	97
678	375.900	1	70	0	3	3	2	93
679	185.000	28	251	0	2	1	1	62
680	268.000	1	108	0	3	1	1	90
681	420.000	88	252	0	2	2	1	76
682	376.950	1	70	0	3	3	2	94
683	1.650.000	73	250	2	4	4	4	356
684	690.000	25	127	2	3	1	2	240
685	165.620	89	253	0	2	1	1	54
686	520.000	1	254	0	3	1	2	152
689	821.000	1	87	0	3	3	3	153
690	821.000	1	87	0	3	3	3	153
693	550.000	6	255	1	3	1	5	185
695	850.000	34	36	0	4	2	2	234
696	230.000	90	256	1	3	1	2	93
697	900.000	21	257	2	3	3	2	235
699	550.000	91	36	0	3	3	2	105
702	314.956	1	46	0	2	1	1	61
704	400.000	20	258	0	3	1	2	93
706	212.305	40	139	0	2	1	1	58
707	1.389.000	5	61	0	4	4	3	214
710	628.000	47	259	0	3	3	2	142
712	215.000	19	260	0	2	1	1	94
715	835.000	5	36	0	3	3	3	149
716	230.000	8	261	0	3	1	1	108
717	495.000	1	98	0	3	3	2	104
720	499.000	6	232	0	3	3	2	102
723	220.000	2	44	0	2	1	1	67
724	450.000	4	262	0	3	3	2	123
726	768.200	1	263	0	3	3	2	125
727	2.622.325	23	173	0	5	5	5	359
728	5.800.000	22	36	2	4	4	6	600
730	320.000	1	50	0	2	1	2	63
732	1.020.000	43	264	1	5	5	6	440
734	890.000	1	4	0	3	3	3	165
735	650.000	23	114	0	3	3	2	126
739	280.000	92	265	0	3	1	2	79
741	375.900	1	70	0	3	3	2	93
743	169.000	41	84	0	2	1	1	61
746	1.690.000	5	214	0	4	4	4	261
749	728.200	1	266	0	3	3	2	123
754	300.000	47	72	0	3	2	2	78
756	1.120.000	0	267	0	4	4	3	224
760	273.000	1	145	0	3	1	2	82
762	325.000	47	268	0	2	2	1	67
763	1.490.000	93	269	2	4	4	4	404
764	279.900	13	19	0	3	1	2	82
766	240.000	47	2	0	3	1	1	92
768	320.000	1	36	0	3	1	1	89
770	265.000	20	270	0	2	1	2	63
772	450.000.000	13	271	2	3	1	2	102018
773	480.000	94	272	0	3	1	1	127
774	228.713	14	179	0	2	1	2	63
776	726.400	0	22	0	3	3	2	128
777	645.000	23	273	0	3	3	2	125
778	300.000	23	274	0	3	1	1	102
782	1.475.000	5	61	0	4	4	3	216
785	500.000	0	36	0	3	1	2	100
786	230.000	95	275	1	3	1	2	60
788	1.150.000	5	36	0	4	4	3	178
790	295.000	12	16	2	3	1	3	75
791	210.000	96	276	1	3	1	3	99
792	520.000	1	277	0	3	3	2	122
796	590.000	4	278	1	3	2	4	280
797	4.000.000	63	279	2	4	4	2	500
798	290.000	1	34	0	2	1	1	58
799	300.000	24	280	0	3	1	1	70
800	200.000	92	265	0	2	1	1	62
802	477.000	2	33	0	3	3	2	106
805	735.000	1	50	0	3	3	3	150
806	370.000	97	281	1	3	1	3	200
807	580.000	23	55	0	4	1	2	150
808	295.000	23	37	0	2	1	1	76
809	225.000	87	253	0	3	1	2	65
810	220.000	98	282	0	2	1	1	62
814	550.000	74	283	0	3	3	2	116
815	450.000	6	284	1	2	2	4	90
818	335.000	23	115	0	3	1	1	72
824	230.000	4	36	0	2	1	1	71
826	1.020.000	23	36	0	3	3	3	198
827	270.000	99	285	2	3	1	1	93
828	395.000	1	174	0	3	1	1	100
829	1.400.000	5	36	0	4	4	3	200
